fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-05-03,landsat-9,78.89,LC09_L2SP_232087_20260503_02_T1,ok,ok,ok,2026-05-05 11:10,L2
2026-04-24,landsat-9,88.69,LC09_L2SP_233087_20260424_02_T1,ok,ok,ok,2026-05-20 12:17,L2
2026-04-25,Landsat 8,3.98,LC08_L1TP_232087_20260425_20260426_02_T1,ok,ok,ok,2026-05-22 12:12,L1
2026-05-19,LC09_L2SP_232087_20260519_20260520_02_T1,0,LC09_L2SP_232087_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 16:44,L2
2026-05-11,LC08_L2SP_232087_20260511_20260515_02_T1,1,LC08_L2SP_232087_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 16:44,L2
2026-05-10,LC09_L2SP_233086_20260510_20260511_02_T1,2,LC09_L2SP_233086_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:44,L2
2026-05-02,LC08_L2SP_233086_20260502_20260514_02_T1,1,LC08_L2SP_233086_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:45,L2
2026-05-26,LC09_L2SP_233086_20260526_20260527_02_T1,19,LC09_L2SP_233086_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:04,L2
2026-05-18,LC08_L2SP_233086_20260518_20260528_02_T1,3,LC08_L2SP_233086_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:50,L2
2026-05-27,LC08_L2SP_232087_20260527_20260604_02_T1,79,LC08_L2SP_232087_20260527_20260604_02_T1,ok,ok,ok,2026-06-05 09:06,L2
2026-06-04,LC09_L2SP_232087_20260604_20260605_02_T1,86,LC09_L2SP_232087_20260604_20260605_02_T1,ok,ok,ok,2026-06-07 21:00,L2
2026-06-11,LC09_L1GT_233087_20260611_20260611_02_T2,95,LC09_L1GT_233087_20260611_20260611_02_T2,ok,ok,ok,2026-06-12 19:09,L1
2026-06-03,LC08_L1TP_233087_20260603_20260603_02_RT,28,LC08_L1TP_233087_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 19:09,L1
2026-06-12,LC08_L1TP_232087_20260612_20260612_02_RT,74,LC08_L1TP_232087_20260612_20260612_02_RT,ok,ok,ok,2026-06-12 21:08,L1
2026-06-03,LC08_L2SP_233087_20260603_20260612_02_T1,28,LC08_L2SP_233087_20260603_20260612_02_T1,ok,ok,ok,2026-06-13 13:31,L2
2026-06-11,LC09_L2SP_233087_20260611_20260613_02_T2,95,LC09_L2SP_233087_20260611_20260613_02_T2,ok,ok,ok,2026-06-13 23:15,L2
2026-06-12,LC08_L2SP_232087_20260612_20260618_02_T1,74,LC08_L2SP_232087_20260612_20260618_02_T1,ok,ok,ok,2026-06-19 11:21,L2
2026-06-19,LC08_L1TP_233087_20260619_20260619_02_RT,95,LC08_L1TP_233087_20260619_20260619_02_RT,ok,ok,ok,2026-06-20 10:05,L1
2026-06-20,LC09_L1TP_232087_20260620_20260620_02_T1,53,LC09_L1TP_232087_20260620_20260620_02_T1,ok,ok,ok,2026-06-20 21:08,L1
2026-06-20,LC09_L2SP_232087_20260620_20260623_02_T1,53,LC09_L2SP_232087_20260620_20260623_02_T1,ok,ok,ok,2026-06-23 10:35,L2
2026-06-27,LC09_L1TP_233087_20260627_20260627_02_T1,63,LC09_L1TP_233087_20260627_20260627_02_T1,ok,ok,ok,2026-06-28 17:03,L1
2026-06-19,LC08_L2SP_233087_20260619_20260627_02_T1,95,LC08_L2SP_233087_20260619_20260627_02_T1,ok,ok,ok,2026-06-28 22:01,L2
2026-06-27,LC09_L2SP_233087_20260627_20260628_02_T1,63,LC09_L2SP_233087_20260627_20260628_02_T1,ok,ok,ok,2026-06-29 00:05,L2
2026-06-28,LC08_L1TP_232087_20260628_20260628_02_RT,61,LC08_L1TP_232087_20260628_20260628_02_RT,ok,ok,ok,2026-06-29 07:30,L1
2026-07-05,LC08_L1TP_233087_20260705_20260705_02_RT,19,LC08_L1TP_233087_20260705_20260705_02_RT,ok,ok,ok,2026-07-06 11:26,L1
2026-07-06,LC09_L1TP_232087_20260706_20260706_02_T1,100,LC09_L1TP_232087_20260706_20260706_02_T1,ok,ok,ok,2026-07-07 07:35,L1
2026-07-06,LC09_L2SP_232087_20260706_20260707_02_T1,100,LC09_L2SP_232087_20260706_20260707_02_T1,ok,ok,ok,2026-07-07 23:58,L2
2026-06-28,LC08_L2SP_232087_20260628_20260707_02_T1,61,LC08_L2SP_232087_20260628_20260707_02_T1,ok,ok,ok,2026-07-08 20:30,L2
2026-07-13,LC09_L1GT_233087_20260713_20260713_02_T2,100,LC09_L1GT_233087_20260713_20260713_02_T2,ok,ok,ok,2026-07-14 07:09,L1
2026-07-13,LC09_L2SP_233087_20260713_20260714_02_T2,100,LC09_L2SP_233087_20260713_20260714_02_T2,ok,ok,ok,2026-07-14 13:10,L2
2026-07-14,LC08_L1TP_232087_20260714_20260714_02_RT,98,LC08_L1TP_232087_20260714_20260714_02_RT,ok,ok,ok,2026-07-14 21:50,L1
2026-07-05,LC08_L2SP_233087_20260705_20260716_02_T1,19,LC08_L2SP_233087_20260705_20260716_02_T1,ok,ok,ok,2026-07-17 21:10,L2
2026-07-21,LC08_L1TP_233087_20260721_20260721_02_RT,59,LC08_L1TP_233087_20260721_20260721_02_RT,ok,ok,ok,2026-07-22 07:35,L1
2026-07-22,LC09_L1TP_232087_20260722_20260722_02_T2,74,LC09_L1TP_232087_20260722_20260722_02_T2,ok,ok,ok,2026-07-23 05:10,L1
2026-07-14,LC08_L2SP_232087_20260714_20260722_02_T1,98,LC08_L2SP_232087_20260714_20260722_02_T1,ok,ok,ok,2026-07-23 05:10,L2
2026-07-22,LC09_L2SP_232087_20260722_20260723_02_T2,74,LC09_L2SP_232087_20260722_20260723_02_T2,ok,ok,ok,2026-07-23 16:31,L2
2026-07-21,LC08_L2SP_233087_20260721_20260725_02_T1,59,LC08_L2SP_233087_20260721_20260725_02_T1,ok,ok,ok,2026-07-26 12:59,L2
2026-07-29,LC09_L1GT_233087_20260729_20260729_02_T2,100,LC09_L1GT_233087_20260729_20260729_02_T2,ok,ok,ok,2026-07-30 07:33,L1
2026-07-29,LC09_L2SP_233087_20260729_20260730_02_T2,100,LC09_L2SP_233087_20260729_20260730_02_T2,ok,ok,ok,2026-07-30 15:07,L2
2026-07-30,LC08_L1GT_232087_20260730_20260730_02_RT,94,LC08_L1GT_232087_20260730_20260730_02_RT,ok,ok,ok,2026-07-30 20:17,L1
2026-08-06,LC08_L1TP_233087_20260806_20260806_02_RT,55,LC08_L1TP_233087_20260806_20260806_02_RT,ok,ok,ok,2026-08-06 22:47,L1
2026-08-07,LC09_L1TP_232087_20260807_20260807_02_T1,82,LC09_L1TP_232087_20260807_20260807_02_T1,ok,ok,ok,2026-08-08 05:39,L1
2026-08-07,LC09_L2SP_232087_20260807_20260808_02_T1,82,LC09_L2SP_232087_20260807_20260808_02_T1,ok,ok,ok,2026-08-08 20:22,L2
2026-07-30,LC08_L2SP_232087_20260730_20260811_02_T2,94,LC08_L2SP_232087_20260730_20260811_02_T2,ok,ok,ok,2026-08-12 05:32,L2
2026-08-06,LC08_L2SP_233087_20260806_20260812_02_T1,55,LC08_L2SP_233087_20260806_20260812_02_T1,ok,ok,ok,2026-08-13 10:08,L2
2026-08-14,LC09_L1TP_233087_20260814_20260814_02_T1,80,LC09_L1TP_233087_20260814_20260814_02_T1,ok,ok,ok,2026-08-14 22:18,L1
2026-08-14,LC09_L2SP_233087_20260814_20260815_02_T1,80,LC09_L2SP_233087_20260814_20260815_02_T1,ok,ok,ok,2026-08-15 17:17,L2
2026-08-15,LC08_L1TP_232087_20260815_20260815_02_RT,89,LC08_L1TP_232087_20260815_20260815_02_RT,ok,ok,ok,2026-08-16 07:29,L1
2026-08-22,LC08_L1TP_233087_20260822_20260822_02_RT,6,LC08_L1TP_233087_20260822_20260822_02_RT,ok,ok,ok,2026-08-23 07:31,L1
2026-08-23,LC09_L1TP_232087_20260823_20260823_02_T1,60,LC09_L1TP_232087_20260823_20260823_02_T1,ok,ok,ok,2026-08-23 23:16,L1
2026-08-15,LC08_L2SP_232087_20260815_20260823_02_T1,89,LC08_L2SP_232087_20260815_20260823_02_T1,ok,ok,ok,2026-08-24 16:32,L2
2026-08-23,LC09_L2SP_232087_20260823_20260824_02_T1,60,LC09_L2SP_232087_20260823_20260824_02_T1,ok,ok,ok,2026-08-24 20:25,L2
2026-08-30,LC09_L1TP_233087_20260830_20260830_02_T1,96,LC09_L1TP_233087_20260830_20260830_02_T1,ok,ok,ok,2026-08-31 09:04,L1
2026-08-30,LC09_L2SP_233087_20260830_20260831_02_T1,96,LC09_L2SP_233087_20260830_20260831_02_T1,ok,ok,ok,2026-08-31 16:43,L2
